Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Яндекс.Маркет,постамат,Постаматы,"Мытная улица, 52",1 этаж,115162,,Даниловский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.716901,37.618943,https://2gis.com/firm/70000001061794478
Почта России,почтомат,Постаматы,"Селезнёвская, вход метро №1",,129110,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.781537,37.614143,https://2gis.com/firm/70000001060954694
OmniCDEK,постамат,Постаматы,"Трифоновская, 56",,129110,,Мещанский район,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.789347,37.63123,https://2gis.com/firm/70000001063067585
PickPoint,постамат,Постаматы,"Театральная аллея, 3 ст1",2 этаж; гипермаркет ОГО!,125167,,Аэропорт район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.793141,37.560361,https://2gis.com/firm/4504128908631959
OZON box,автоматизированный пункт выдачи,Постаматы,"Маршала Малиновского, 7",1 этаж,123298,,Щукино район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.791112,37.492681,https://2gis.com/firm/70000001047851322
OmniCDEK,постамат,Постаматы,"Ходынский бульвар, 4",,125252,,Хорошёвский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.788552,37.534512,https://2gis.com/firm/70000001065148584
Почта России,почтомат,Постаматы,"улица Зои и Александра Космодемьянских, 4 ст2",,125171,,Войковский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.817898,37.503207,https://2gis.com/firm/70000001054029312
PickPoint,постамат,Постаматы,"проспект Вернадского, 29",цокольный этаж,119331,,Ломоносовский район,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.681829,37.516348,https://2gis.com/firm/4504128908631083
OZON box,автоматизированный пункт выдачи,Постаматы,"проспект Вернадского, 61",,119415,,Проспект Вернадского район,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.672537,37.501689,https://2gis.com/firm/70000001061990426
Почта России,почтомат,Постаматы,"Гостиничный проезд, 4Б",,127106,,Марфино район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.84356,37.577042,https://2gis.com/firm/70000001064780775
Яндекс.Маркет,постамат,Постаматы,"улица Кожевническая, 1Б ст1",1 этаж,115114,,Замоскворечье район,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.73064,37.642327,https://2gis.com/firm/70000001057235876
Почта России,почтомат,Постаматы,"улица Маршала Соколовского, 3",,123060,,Щукино район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.793432,37.489564,https://2gis.com/firm/70000001061118258
PickPoint,постамат,Постаматы,"Мичуринский проспект, 21 к6",2 этаж,119192,,Раменки район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.699575,37.506324,https://2gis.com/firm/4504128908799633
Яндекс.Маркет,постамат,Постаматы,"Шоссейная улица, 1/2 ст4",салон Планета линз,109548,,Печатники район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.691599,37.727943,https://2gis.com/firm/70000001051081412
PickPoint,постамат,Постаматы,"Локомотивный проезд, 4",1 этаж,127238,,Тимирязевский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.837771,37.576616,https://2gis.com/firm/70000001017436941
OmniCDEK,постамат,Постаматы,"Ярославское шоссе, 12 к2",супермаркет Винлаб,129337,,Ярославский район,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.854458,37.682807,https://2gis.com/firm/70000001046252790
PickPoint,постамат,Постаматы,"улица Цюрупы, 28",-1 этаж,117418,,Черёмушки район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.667131,37.567372,https://2gis.com/firm/70000001046502427
Леруа Мерлен,постамат,Постаматы,"Осташковское шоссе, 1Б",,141014,,,Мытищи,Мытищи городской округ,Московская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,,,,http://leroymerlin.ru,,,,,,55.898983,37.669263,https://2gis.com/firm/70000001062716294
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Зеленодольская, 30",2 этаж,109457,,Кузьминки район,Москва,,Москва,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.710483,37.769964,https://2gis.com/firm/70000001051224284
OmniCDEK,постамат,Постаматы,"улица Новочерёмушкинская, 53а",-1 этаж; справа от лестницы,117418,,Черёмушки район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.67187,37.569617,https://2gis.com/firm/70000001062722116
Яндекс.Маркет,постамат,Постаматы,"Люсиновская улица, 4",,115093,,Замоскворечье район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.727295,37.62248,https://2gis.com/firm/70000001049196856
OZON box,автоматизированный пункт выдачи,Постаматы,"Рязанский проспект, 28 ст1",1 этаж,109428,,Рязанский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.719338,37.778791,https://2gis.com/firm/70000001030822267
Яндекс.Маркет,постамат,Постаматы,"улица Народного Ополчения, 29 к1",,123154,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.780529,37.479253,https://2gis.com/firm/70000001058796448
PickPoint,постамат,Постаматы,"Малая Филёвская, 13",2 этаж,121433,,Фили-Давыдково район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.73643,37.467099,https://2gis.com/firm/70000001025538621
OmniCDEK,постамат,Постаматы,"Рязанский проспект, 30/15",1 этаж,109428,,Рязанский район,Москва,,Москва,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.718822,37.780016,https://2gis.com/firm/70000001047662605
OmniCDEK,постамат,Постаматы,"Славянский бульвар, 5 к1",1 этаж,121352,,Фили-Давыдково район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.727034,37.470553,https://2gis.com/firm/70000001046051777
PickPoint,постамат,Постаматы,"Рязанский проспект, 2 к2",242 павильон; 2 этаж,109052,,Нижегородский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.730444,37.732174,https://2gis.com/firm/4504128908631878
СберЛогистика,постамат,Постаматы,"Петровский бульвар, 23",1 этаж,127051,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.767784,37.620872,https://2gis.com/firm/70000001041030548
СберЛогистика,постамат,Постаматы,"Лубянский проезд, 17",2 этаж; СберБанк,101000,,Басманный район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-16:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.756024,37.633121,https://2gis.com/firm/70000001050087808
СберЛогистика,постамат,Постаматы,"Цветной бульвар, 2",1 этаж,127051,,Мещанский район,Москва,,Москва,Россия,Пн: 08:30-19:30; Вт: 08:30-19:30; Ср: 08:30-19:30; Чт: 08:30-19:30; Пт: 08:30-19:30; Сб: 10:00-15:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.767794,37.623019,https://2gis.com/firm/70000001050087915
Почта России,почтомат,Постаматы,"Тургеневская площадь, вход метро №6",,101000,,Красносельский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.766084,37.637135,https://2gis.com/firm/70000001062169170
PickPoint,постамат,Постаматы,"улица Большая Полянка, 30",1 этаж,119180,,Якиманка район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.734085,37.619132,https://2gis.com/firm/70000001052091953
Яндекс.Маркет,постамат,Постаматы,"улица Маршала Рыбалко, 11",цокольный этаж,123060,,Щукино район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.797744,37.489393,https://2gis.com/firm/70000001060661906
PickPoint,постамат,Постаматы,"улица Тимура Фрунзе, 11 ст13",,119021,,Хамовники район,Москва,,Москва,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.735054,37.588074,https://2gis.com/firm/70000001041455110
OZON box,автоматизированный пункт выдачи,Постаматы,"Новолесная, 18 к2",,127055,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.783838,37.589915,https://2gis.com/firm/70000001038591930
OZON box,автоматизированный пункт выдачи,Постаматы,"Земляной Вал улица, 2",1 этаж; около мини-маркета Киви,105064,,Басманный район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.763083,37.656368,https://2gis.com/firm/70000001055861445
СберЛогистика,постамат,Постаматы,"Зубовский бульвар, 13 ст1",1 этаж,119021,,Хамовники район,Москва,,Москва,Россия,Пн: 08:30-19:30; Вт: 08:30-19:30; Ср: 08:30-19:30; Чт: 08:30-19:30; Пт: 08:30-19:30; Сб: 10:00-18:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.735802,37.592336,https://2gis.com/firm/70000001048902813
СберЛогистика,постамат,Постаматы,"улица Советской Армии, 17/52",,127018,,Марьина Роща район,Москва,,Москва,Россия,Пн: 08:30-20:30; Вт: 08:30-20:30; Ср: 08:30-20:30; Чт: 08:30-20:30; Пт: 08:30-20:30; Сб: 09:30-18:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.792828,37.615164,https://2gis.com/firm/70000001049035927
Почта России,почтомат,Постаматы,"Кудринская площадь, 1",цокольный этаж,123242,,Пресненский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.759275,37.580042,https://2gis.com/firm/70000001061354310
OZON box,автоматизированный пункт выдачи,Постаматы,"Рязанский проспект, 46",1 этаж,109377,,Рязанский район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.716788,37.792533,https://2gis.com/firm/70000001063333385
OZON box,автоматизированный пункт выдачи,Постаматы,"Дербеневская набережная, 11",1 этаж,115114,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.721042,37.651475,https://2gis.com/firm/70000001030824736
OZON box,автоматизированный пункт выдачи,Постаматы,"Комсомольская площадь, 6",1 этаж; супермаркет Пятёрочка,107140,,Красносельский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.776311,37.660758,https://2gis.com/firm/70000001039162353
СберЛогистика,постамат,Постаматы,"Баррикадная улица, 19 к1",1 этаж,123242,,Пресненский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.760468,37.57991,https://2gis.com/firm/70000001050092840
Почта России,почтомат,Постаматы,"Серпуховский Вал улица, 17",1 этаж,115191,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.711322,37.612489,https://2gis.com/firm/70000001061010402
Почта России,почтомат,Постаматы,"3-й Крутицкий переулок, вход метро №5",,109044,,Таганский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.731671,37.663996,https://2gis.com/firm/70000001061170853
Халва,почтомат,Постаматы,"Сущёвский Вал улица, 67",цокольный этаж,129594,,Марьина Роща район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88001009336,88001009237 (единая справочная: пн-вс 9:00-21:00),88001009405 (единая справочная: пн-вс 9:00-21:00),http://pochtomat.ru,,,,https://vk.com/pochtomat,,55.793134,37.62337,https://2gis.com/firm/70000001049181807
PickPoint,постамат,Постаматы,"Снежная, 27",2 этаж,129323,,Свиблово район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.856061,37.653064,https://2gis.com/firm/70000001021411750
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Сергия Радонежского, 2",1 этаж,105120,,Таганский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.746454,37.671035,https://2gis.com/firm/70000001032573604
OZON box,автоматизированный пункт выдачи,Постаматы,"17-й Марьиной Рощи проезд, 4",1 этаж; автомойка Грейтек,127521,,Марьина Роща район,Москва,,Москва,Россия,"Пн: 00:00-01:00, 06:00-24:00; Вт: 00:00-01:00, 06:00-24:00; Ср: 00:00-01:00, 06:00-24:00; Чт: 00:00-01:00, 06:00-24:00; Пт: 00:00-01:00, 06:00-24:00; Сб: 00:00-01:00, 06:00-24:00; Вс: 00:00-01:00, 06:00-24:00",+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.80862,37.610941,https://2gis.com/firm/70000001048634462
OZON box,автоматизированный пункт выдачи,Постаматы,"Большая Новодмитровская, 36 ст2",1 этаж,127015,,Бутырский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.805116,37.585151,https://2gis.com/firm/70000001053942775
