,№ - ТОП,№,Адрес,Площадь м2,Год,Этажей,Подьездов,Помещений / Квартир
1642,,3385.0,"линия. Северная 7-я, д. 17, Москва",261.0,1958,2,,
1643,,3433.0,"линия. Северная 8-я, д. 1, Москва",287.0,1959,2,,
1644,,3434.0,"линия. Северная 8-я, д. 3, Москва",258.8,1959,2,,
1645,,3435.0,"линия. Северная 8-я, д. 5, Москва",255.8,1959,2,,
1646,,3436.0,"линия. Северная 8-я, д. 7, Москва",258.9,1959,2,,
1647,,3437.0,"линия. Северная 8-я, д. 9, Москва",255.0,1959,2,,
1648,,3438.0,"линия. Северная 8-я, д. 11, Москва",257.3,1959,2,,
1649,,3439.0,"линия. Северная 8-я, д. 13, Москва",260.0,1958,2,,
1650,,3440.0,"линия. Северная 8-я, д. 15, Москва",249.0,1958,2,,
1651,,3585.0,"линия. Северная 2-я, д. 2, Москва",256.4,1959,2,,
1652,,3587.0,"линия. Северная 5-я, д. 5, Москва",237.8,1949,2,,
1653,,3588.0,"линия. Северная 7-я, д. 7, Москва",255.2,1960,2,,
1654,,3592.0,"линия. Северная 9-я, д. 2, Москва",288.8,1960,2,,
1655,,3594.0,"линия. Северная 9-я, д. 4, Москва",332.3,1960,2,,
1656,,3595.0,"линия. Северная 9-я, д. 6, Москва",279.6,1959,2,,
1657,,3597.0,"линия. Северная 9-я, д. 8, Москва",273.7,1958,2,,
1658,,3598.0,"линия. Северная 9-я, д. 10, Москва",279.2,1958,2,,
1659,,3601.0,"линия. Северная 9-я, д. 12, Москва",389.1,1958,2,,
1660,,3603.0,"линия. Северная 9-я, д. 14, Москва",321.2,1958,2,,
1661,,3605.0,"линия. Северная 9-я, д. 16, Москва",259.2,1958,2,1,4
1662,,3607.0,"линия. Северная 9-я, д. 18, Москва",245.0,1958,2,,
1663,,3750.0,"г. Щербинка, ул. Авиаторов, д. 4, Москва",906.6,1956,2,,
1664,,4362.0,"ул. Академика Янгеля, д. 11, стр. 36, Москва",829.0,1951,2,,
1665,,4608.0,"ул. Амундсена, д. 17, к. 1, Москва",680.0,1960,2,,
1666,,4905.0,"ул. Арбат, д. 36/2, Москва",1393.8,1917,2,,
1667,,4937.0,"пер. Армянский, д. 4, стр. 1 А, Б, Москва",592.8,1917,2,,
1668,,4938.0,"пер. Армянский, д. 4, Москва",592.8,1917,2,,
1669,,5005.0,"ул. Артюхиной, д. 27, к. 2, Москва",1113.8,1950,2,,
1670,,5010.0,"пер. Архангельский, д. 8/2, стр. 2, Москва",539.7,1843,2,,
1671,,5012.0,"пер. Архангельский, д. 8/2, стр. 6, Москва",121.0,1904,2,,
1672,,5313.0,"ул. Бакунинская, д. 49, стр. 5, Москва",497.7,1917,2,,
1673,,5320.0,"ул. Бакунинская, д. 96-98, стр. 6, Москва",467.0,1994,2,,
1674,,5488.0,"пер. Басманный, д. 4, Москва",1078.8,1850,2,,
1675,,5802.0,"проезд. Березовой Рощи, д. 3, к. 1, Москва",1431.0,2009,2,,
1676,,5803.0,"проезд. Березовой Рощи, д. 3, к. 2, Москва",1408.0,2009,2,,
1677,,6486.0,"ул. Дмитровка Б., д. 22, стр. 2, Москва",55.0,1917,2,,
1678,,6510.0,"ул. Косинская Б., д. 20, к. 2, Москва",711.7,1940,2,,
1679,,6512.0,"ул. Косинская Б., д. 28а, Москва",652.1,1959,2,,
1680,,6513.0,"ул. Косинская Б., д. 32, Москва",197.0,1961,2,,
1681,,6572.0,"ул. Набережная Б., д. 17а, Москва",347.4,1948,2,,
1682,,6573.0,"ул. Набережная Б., д. 17б, Москва",350.3,1948,2,,
1683,,6643.0,"ул. Очаковская Б., д. 37, Москва",761.0,1966,2,,
1684,,6820.0,"ул. Филевская Б., д. 28, к. 3, Москва",869.0,1954,2,,
1685,,7072.0,"пер. Знаменский Б., д. 13, к. 1, Москва",2797.5,2010,2,,
1686,,7164.0,"пер. Овчинниковский Б., д. 26, стр. 6, Москва",358.1,1957,2,,
1687,,7189.0,"пер. Рогожский Б., д. 7, Москва",276.0,1901,2,,
1688,,7219.0,"пер. Сухаревский Б., д. 10, стр. 1, Москва",336.0,1893,2,,
1689,,7629.0,"ул. Бронницкая, д. 6а, Москва",771.0,1948,2,,
1690,,8157.0,"ш. Варшавское, д. 190, к. 1, Москва",796.0,1957,2,,
1691,,8158.0,"ш. Варшавское, д. 190, к. 2, Москва",800.4,1957,2,2,8
1692,,8384.0,"ул. Вересковая, д. 4, Москва",871.0,1950,2,,
1693,,8385.0,"ул. Вересковая, д. 7, Москва",760.0,1948,2,,
1694,,8400.0,"пр-кт. Вернадского, д. 4, стр. 1, Москва",1434.0,1956,2,,
1695,,8640.0,"ул. Верхоянская, д. 11, Москва",636.0,1960,2,,
1696,,8655.0,"п. Вороновское, д. Львово, ул. Весенняя, д. 1, Москва",358.5,1967,2,,
1697,,8656.0,"п. Вороновское, д. Львово, ул. Весенняя, д. 2, Москва",371.8,1974,2,,
1698,,8685.0,"ул. Вешних Вод, д. 4, стр. 141, Москва",364.0,1959,2,,
1699,,8687.0,"ул. Вешних Вод, д. 4, стр. 8, Москва",728.0,1953,2,,
1700,,8889.0,"ул. Водников, д. 9, Москва",366.0,1937,2,,
1701,,8905.0,"пер. Вокзальный, д. 5, Москва",1082.0,1939,2,,
1702,,8906.0,"пер. Вокзальный, д. 6, к. 1, Москва",782.0,1939,2,,
1703,,8907.0,"пер. Вокзальный, д. 6, к. 2, Москва",692.0,1939,2,,
1704,,9348.0,"пер. Воротниковский, д. 7, стр. 1, Москва",600.0,1926,2,,
1705,,9598.0,"ул. Газопровод, д. 6г, к. 3, Москва",529.0,1936,2,,
1706,,10192.0,"ул. Головачева, д. 2, к. в/г 10/5, инв. 190А, Москва",530.0,1974,2,,
1707,,10193.0,"ул. Головачева, д. 2, к. в/г 10/5, инв. 190Б, Москва",421.0,1974,2,,
1708,,10194.0,"ул. Головачева, д. 2, Москва",530.0,1974,2,,
1709,,10195.0,"ул. Головачева, д. 2, стр. Инв190А, Москва",530.0,1974,2,,
1710,,10198.0,"ул. Головачева, д. 2, стр. инв190Б, Москва",421.0,1974,2,,
1711,,11258.0,"аллея. Долгопрудная, д. 1, к. 6, Москва",213.7,Не заполнено,2,,
1712,,11260.0,"аллея. Долгопрудная, д. 1, к. 8, Москва",335.6,2004,2,,
1713,,11261.0,"аллея. Долгопрудная, д. 1, к. 30, Москва",327.0,Не заполнено,2,,
1714,,11262.0,"аллея. Долгопрудная, д. 1, к. 9, Москва",408.0,2006,2,,
1715,,11264.0,"аллея. Долгопрудная, д. 1, к. 11, Москва",601.1,Не заполнено,2,,
1716,,11265.0,"аллея. Долгопрудная, д. 1, к. 12, Москва",347.1,Не заполнено,2,,
1717,,11267.0,"аллея. Долгопрудная, д. 1, к. 14, Москва",241.8,Не заполнено,2,,
1718,,11269.0,"аллея. Долгопрудная, д. 1, к. 15, Москва",169.5,Не заполнено,2,,
1719,,11274.0,"аллея. Долгопрудная, д. 1, к. 20, Москва",372.5,Не заполнено,2,,
1720,,11275.0,"аллея. Долгопрудная, д. 1, к. 22, Москва",335.0,2008,2,,
1721,,11276.0,"аллея. Долгопрудная, д. 1, к. 23, Москва",290.7,Не заполнено,2,Не указано,Не указано
1722,,11277.0,"аллея. Долгопрудная, д. 1, к. 24, Москва",355.5,Не заполнено,2,,
1723,,11280.0,"аллея. Долгопрудная, д. 1, к. 27, Москва",173.7,Не заполнено,2,,
1724,,11284.0,"аллея. Долгопрудная, д. 1, к. 35, Москва",494.4,Не заполнено,2,,
1725,,11285.0,"аллея. Долгопрудная, д. 1, к. 36, Москва",274.1,Не заполнено,2,,
1726,,11286.0,"аллея. Долгопрудная, д. 1, к. 38, Москва",259.2,Не заполнено,2,,
1727,,11291.0,"аллея. Долгопрудная, д. 1, к. 44, Москва",464.5,Не заполнено,2,,
1728,,11292.0,"аллея. Долгопрудная, д. 1, к. 46, Москва",313.0,Не заполнено,2,,
1729,,11294.0,"аллея. Долгопрудная, д. 1, к. 48, Москва",327.2,Не заполнено,2,,
1730,,11296.0,"аллея. Долгопрудная, д. 1, к. 50, Москва",284.3,Не заполнено,2,,
1731,,11299.0,"аллея. Долгопрудная, д. 1, к. 54, Москва",378.4,2007,2,,
1732,,11300.0,"аллея. Долгопрудная, д. 1, к. 55, Москва",519.6,Не заполнено,2,,
1733,,11301.0,"аллея. Долгопрудная, д. 1, к. 56, Москва",333.2,Не заполнено,2,,
1734,,11303.0,"аллея. Долгопрудная, д. 1, к. 58, Москва",476.4,Не заполнено,2,,
1735,,11305.0,"аллея. Долгопрудная, д. 1, к. 59, Москва",301.4,2005,2,,
1736,,11306.0,"аллея. Долгопрудная, д. 1, к. 62, Москва",323.2,Не заполнено,2,,
1737,,11307.0,"аллея. Долгопрудная, д. 1, к. 63, Москва",500.3,2007,2,,
1738,,11308.0,"аллея. Долгопрудная, д. 1, к. 65, Москва",498.7,Не заполнено,2,,
1739,,11309.0,"аллея. Долгопрудная, д. 1, к. 66, Москва",261.0,Не заполнено,2,,
1740,,11313.0,"аллея. Долгопрудная, д. 1, к. 70, Москва",381.9,Не заполнено,2,,
1741,,11314.0,"аллея. Долгопрудная, д. 1, к. 71, Москва",269.0,Не заполнено,2,,
1742,,11315.0,"аллея. Долгопрудная, д. 1, к. 72, Москва",245.3,Не заполнено,2,,
1743,,11317.0,"аллея. Долгопрудная, д. 1, к. 74, Москва",495.1,Не заполнено,2,,
1744,,11318.0,"аллея. Долгопрудная, д. 1, к. 75, Москва",220.7,Не заполнено,2,,
1745,,11319.0,"аллея. Долгопрудная, д. 1, к. 76, Москва",278.0,Не заполнено,2,,
1746,,11320.0,"аллея. Долгопрудная, д. 1, к. 77, Москва",262.8,Не заполнено,2,,
1747,,11321.0,"аллея. Долгопрудная, д. 1, к. 78, Москва",258.5,Не заполнено,2,,
1748,,11322.0,"аллея. Долгопрудная, д. 1, к. 79, Москва",238.2,Не заполнено,2,,
1749,,11324.0,"аллея. Долгопрудная, д. 1, к. 81, Москва",204.0,Не заполнено,2,,
1750,,11326.0,"аллея. Долгопрудная, д. 1, к. 84, Москва",468.0,Не заполнено,2,,
1751,,11327.0,"аллея. Долгопрудная, д. 1, к. 85, Москва",204.0,Не заполнено,2,Не указано,Не указано
1752,,11329.0,"аллея. Долгопрудная, д. 1, к. 86, Москва",423.3,Не заполнено,2,,
1753,,11330.0,"аллея. Долгопрудная, д. 1, к. 89, Москва",461.6,Не заполнено,2,,
1754,,11331.0,"аллея. Долгопрудная, д. 1, к. 90, Москва",231.0,Не заполнено,2,,
1755,,11333.0,"аллея. Долгопрудная, д. 1, к. 92, Москва",493.6,Не заполнено,2,,
1756,,11334.0,"аллея. Долгопрудная, д. 1, к. 93, Москва",336.7,Не заполнено,2,,
1757,,11337.0,"аллея. Долгопрудная, д. 1, к. 96, Москва",347.0,Не заполнено,2,,
1758,,11338.0,"аллея. Долгопрудная, д. 1, к. 97, Москва",287.5,Не заполнено,2,,
1759,,11341.0,"аллея. Долгопрудная, д. 1, к. 100, Москва",367.0,Не заполнено,2,,
1760,,11343.0,"аллея. Долгопрудная, д. 1, к. 102, Москва",468.4,Не заполнено,2,,
1761,,11345.0,"аллея. Долгопрудная, д. 1, к. 104, Москва",390.6,Не заполнено,2,,
1762,,11348.0,"аллея. Долгопрудная, д. 1, к. 108, Москва",405.2,Не заполнено,2,,
1763,,11349.0,"аллея. Долгопрудная, д. 1, к. 109, Москва",445.0,Не заполнено,2,,
1764,,11350.0,"аллея. Долгопрудная, д. 1, к. 110, Москва",437.0,Не заполнено,2,,
1765,,11351.0,"аллея. Долгопрудная, д. 1, к. 111, Москва",347.0,Не заполнено,2,,
1766,,11354.0,"аллея. Долгопрудная, д. 1, к. 114, Москва",452.6,Не заполнено,2,,
1767,,11355.0,"аллея. Долгопрудная, д. 1, к. 115, Москва",421.0,Не заполнено,2,,
1768,,11358.0,"аллея. Долгопрудная, д. 1, к. 119, Москва",225.8,Не заполнено,2,,
1769,,11803.0,"проезд. Елоховский, д. 1, стр. 2, Москва",674.5,1917,2,,
1770,,12240.0,"ул. Зарайская, д. 58, к. 1, Москва",844.4,1951,2,,
1771,,12472.0,"пр-кт. Зеленый, д. 2, к. 1, Москва",1206.0,1950,2,,
1772,,12575.0,"ул. Земляной Вал, д. 6, стр. 2, Москва",636.1,1880,2,,
1773,,12825.0,"ул. Ивантеевская, д. 2, к. 1, Москва",777.0,1949,2,,
1774,,12826.0,"ул. Ивантеевская, д. 2, к. 2, Москва",728.0,1950,2,,
1775,,12827.0,"ул. Ивантеевская, д. 2, к. 3, Москва",770.0,1950,2,,
1776,,13341.0,"ул. Каланчевская, д. 22, Москва",978.3,1914,2,,
1777,,13359.0,"ул. Камова, д. 1, Москва",731.0,1952,2,,
1778,,13360.0,"ул. Камова, д. 3, Москва",626.0,1940,2,,
1779,,13366.0,"ул. Камова, д. 22, к. 1, Москва",302.1,1957,2,,
1780,,13367.0,"ул. Камова, д. 22, к. 2, Москва",295.5,1958,2,,
1781,,13368.0,"ул. Камова, д. 24, к. 2, Москва",269.9,1958,2,1,8
1782,,13369.0,"ул. Камова, д. 24, к. 1, Москва",296.3,1958,2,,
1783,,13370.0,"ул. Камова, д. 24, к. 3, Москва",301.5,1959,2,,
1784,,13371.0,"ул. Камова, д. 24, к. 4, Москва",296.2,1959,2,,
1785,,13372.0,"ул. Камова, д. 24, к. 5, Москва",300.2,1961,2,,
1786,,13373.0,"ул. Камова, д. 26, Москва",0.0,1940,2,,
1787,,13374.0,"ул. Камова, д. 28, Москва",300.1,1957,2,,
1788,,13538.0,"ул. Касаткина, д. 16Б, Москва",972.0,1933,2,,
1789,,14061.0,"ул. Клары Цеткин, д. 5, к. 1, Москва",563.0,1958,2,,
1790,,14192.0,"ул. Княжеская, д. 28, к. 1, Москва",355.0,2009,2,,
1791,,14193.0,"ул. Княжеская, д. 28, к. 2, Москва",178.0,2009,2,,
1792,,14194.0,"ул. Княжеская, д. 28, к. 3, Москва",178.0,2009,2,,
1793,,14195.0,"ул. Княжеская, д. 28, к. 4, Москва",354.0,2009,2,,
1794,,14207.0,"ул. Кожевническая, д. 8, стр. 2, Москва",670.5,1917,2,,
1795,,15182.0,"ул. Красносолнечная, д. 10, Москва",150.8,1961,2,,
1796,,15240.0,"ул. Красных Зорь, д. 33а, Москва",375.2,1939,2,,
1797,,15328.0,"пер. Кривоколенный, д. 10, Москва",2533.9,1860,2,,
1798,,15329.0,"пер. Кривоколенный, д. 10, стр. 2, Москва",676.0,1860,2,,
1799,,15330.0,"пер. Кривоколенный, д. 10, стр. 1, Москва",1370.4,1860,2,,
1800,,15417.0,"пер. Кропоткинский, д. 24, стр. 1, Москва",583.7,1917,2,,
1801,,15621.0,"б-р. Курьяновский, д. 4/16, Москва",276.2,1951,2,,
1802,,15622.0,"б-р. Курьяновский, д. 5, Москва",243.7,1951,2,,
1803,,15623.0,"б-р. Курьяновский, д. 6, Москва",233.7,1951,2,,
1804,,15624.0,"б-р. Курьяновский, д. 7/25, Москва",390.2,1952,2,,
1805,,15625.0,"б-р. Курьяновский, д. 8/23, Москва",273.6,1951,2,,
1806,,15626.0,"б-р. Курьяновский, д. 9/20, Москва",246.1,1951,2,,
1807,,15627.0,"б-р. Курьяновский, д. 11, Москва",242.6,1951,2,,
1808,,15628.0,"б-р. Курьяновский, д. 12, Москва",269.0,1953,2,,
1809,,15629.0,"б-р. Курьяновский, д. 13/4, Москва",243.7,1951,2,,
1810,,15849.0,"г. Троицк, ул. Лагерная, д. 2б, Москва",648.3,1965,2,,
1811,,15860.0,"ул. Лазенки 6-я, д. 6, Москва",1252.4,1960,2,1,16
1812,,16032.0,"пр-кт. Ленинградский, д. 248, Москва",526.4,1939,2,,
1813,,16033.0,"пр-кт. Ленинградский, д. 261, стр. 1, Москва",676.8,1960,2,,
1814,,16143.0,"ул. Лениногорская, д. 7, Москва",316.0,1961,2,,
1815,,16144.0,"ул. Лениногорская, д. 13, Москва",229.2,1918,2,,
1816,,16146.0,"ул. Лениногорская, д. 30, Москва",292.0,1917,2,,
1817,,16151.0,"пр-кт. Ленинский, д. 11, стр. 4, Москва",418.7,1917,2,,
1818,,16333.0,"пер. Леонтьевский, д. 23/8, стр. 3, Москва",425.0,1902,2,,
1819,,16476.0,"пер. Лефортовский, д. 4, стр. 3, Москва",787.9,1917,2,,
1820,,16811.0,"ул. Лужская, д. 1, Москва",542.4,1959,2,,
1821,,16867.0,"ул. Лыткаринская, д. 8, Москва",177.7,1927,2,,
1822,,17048.0,"ул. Макаренко, д. 2/21, стр. 3, Москва",278.0,1905,2,,
1823,,17203.0,"ул. Ордынка М., д. 18, стр. 2, Москва",185.1,1910,2,,
1824,,17237.0,"ул. Полянка М., д. 13, Москва",1550.0,2000,2,,
1825,,17395.0,"пер. Дровяной М., д. 3, стр. 6, Москва",743.0,1904,2,,
1826,,17420.0,"пер. Кисельный М., д. 4, к. 1, Москва",1105.9,1867,2,,
1827,,17486.0,"пер. Трехгорный М., д. 12/7, стр. 3, Москва",227.2,1900,2,,
1828,,17655.0,"ул. Маршала Бирюзова, д. 23, Москва",687.0,1948,2,,
1829,,17659.0,"ул. Маршала Бирюзова, д. 27, Москва",693.0,1948,2,,
1830,,18357.0,"ул. Машкова, д. 22, Москва",511.0,1890,2,,
1831,,18481.0,"пер. Мерзляковский, д. 14, Москва",421.4,1924,2,,
1832,,18557.0,"пер. Мещерский, д. 8, к. 2, Москва",655.0,1959,2,,
1833,,18707.0,"пр-кт. Мира, д. 52, стр. 4, Москва",323.0,1928,2,,
1834,,18814.0,"проезд. Миргородский, д. 4, Москва",644.0,1939,2,,
1835,,18815.0,"проезд. Миргородский, д. 4А, Москва",685.0,1939,2,,
1836,,18816.0,"проезд. Миргородский, д. 6, Москва",653.0,1941,2,,
1837,,18817.0,"проезд. Миргородский, д. 6А, Москва",641.0,1941,2,,
1838,,18949.0,"ул. Михалковская, д. 42, Москва",2244.3,0,2,,
1839,,18953.0,"ул. Михельсона, д. 20, Москва",465.0,1940,2,,
1840,,18958.0,"ул. Михельсона, д. 61, Москва",484.3,1958,2,,
1841,,19386.0,"г. Щербинка, ул. Мостотреста, д. 4, Москва",564.4,1939,2,Не указано,Не указано
1842,,19595.0,"ул. Мясницкая, д. 30/1/2, стр. 2, Москва",1877.0,1876,2,,
1843,,19599.0,"ул. Мясницкая, д. 44, стр. 3, Москва",233.2,1917,2,,
1844,,19874.0,"ул. Нарвская, д. 6, Москва",1083.0,1950,2,,
1845,,19875.0,"ул. Нарвская, д. 6, к. 1, Москва",1082.0,1950,2,,
1847,,20512.0,"ул. Басманная Нов., д. 12, стр. 4, Москва",296.7,1917,2,,
1848,,20519.0,"ул. Басманная Нов., д. 20, стр. 2, Москва",590.0,1917,2,,
1849,,21514.0,"п. Первомайское, д. Ширяево, ул. Озерная, д. 39, к. 3, Москва",1191.8,2016,2,,
1850,,21515.0,"п. Первомайское, д. Ширяево, ул. Озерная, д. 39, к. 2, Москва",1166.2,2016,2,,
1851,,21521.0,"п. Первомайское, д. Ширяево, ул. Озерная, д. 43, к. 1, Москва",936.5,2016,2,,
1852,,21662.0,"ул. Олеко Дундича, д. 21, к. 2, Москва",1495.6,1950,2,,
1853,,21807.0,"ул. Оренбургская, д. 1, Москва",605.7,1953,2,,
1854,,21808.0,"ул. Оренбургская, д. 4, Москва",720.0,1941,2,,
1855,,21813.0,"ул. Оренбургская, д. 6, к. 1, Москва",1075.4,1954,2,,
1856,,21814.0,"ул. Оренбургская, д. 6, к. 2, Москва",619.0,1954,2,,
1858,,21820.0,"ул. Оренбургская, д. 8, к. 1, Москва",985.0,1954,2,,
1859,,21821.0,"ул. Оренбургская, д. 8, к. 2, Москва",695.7,1954,2,,
1860,,21822.0,"ул. Оренбургская, д. 8, к. 3, Москва",982.8,1954,2,,
1861,,21974.0,"п. Толстопальцево, ул. Осипенко, д. 8, стр. 3, Москва",322.0,1961,2,,
1862,,21977.0,"г. Щербинка, ул. Остафьевская, д. 7, Москва",844.1,1952,2,,
1863,,22094.0,"ул. Островная, д. 10, Москва",607.0,2004,2,,
1864,,22095.0,"ул. Островная, д. 12, Москва",605.0,2004,2,,
1865,,22096.0,"ул. Островная, д. 14, Москва",713.0,2004,2,,
1866,,22097.0,"ул. Островная, д. 16, Москва",609.0,2004,2,,
1867,,22101.0,"проезд. Островной, д. 3, к. 3, Москва",490.0,2003,2,,
1868,,22106.0,"проезд. Островной, д. 7, к. 3, Москва",460.0,2003,2,,
1869,,22109.0,"проезд. Островной, д. 9, к. 4, Москва",451.0,2003,2,,
1870,,22112.0,"проезд. Островной, д. 11, к. 5, Москва",451.0,2003,2,,
1871,,22114.0,"проезд. Островной, д. 12, к. 3, Москва",522.0,2003,2,1,2
1872,,22448.0,"ул. Панфилова, д. 8, Москва",454.0,1942,2,,
1873,,22799.0,"ул. Пермская, д. 9, Москва",1635.0,1937,2,,
1874,,22950.0,"ул. Петра Алексеева, д. 3, Москва",1220.0,1928,2,,
1875,,22952.0,"ул. Петра Алексеева, д. 10, Москва",728.0,1928,2,,
1876,,23582.0,"ул. Покровка, д. 25, стр. 1, Москва",326.1,1917,2,,
1877,,23589.0,"ул. Покровка, д. 31, стр. 3, Москва",1013.3,1917,2,,
1878,,23631.0,"б-р. Покровский, д. 16_18, стр. 4_4А, Москва",2982.9,1860,2,,
1879,,23818.0,"просек. Поперечный, д. 17, Москва",526.0,1917,2,,
1880,,23933.0,"ул. Пречистенка, д. 8, стр. 2, Москва",529.5,1900,2,,
1881,,23943.0,"ул. Пречистенка, д. 32/1, стр. 3, Москва",268.0,1830,2,,
1882,,23944.0,"ул. Пречистенка, д. 32/1, стр. 8, Москва",555.0,1917,2,,
1883,,24323.0,"ул. Профсоюзная, д. 123А, к. 25, Москва",399.0,1955,2,,
1884,,24375.0,"проезд. Прудовой, д. 13, Москва",542.0,1957,2,,
1885,,24467.0,"г. Троицк, ул. Пушковых, д. 7, Москва",553.7,1949,2,,
1886,,24496.0,"ул. Пятницкая, д. 6/1, стр. 1, Москва",2696.2,1875,2,,
1887,,24513.0,"ул. Пятницкая, д. 48, стр. 3, Москва",1136.8,1917,2,,
1888,,24870.0,"ул. Родионовская, д. 16, к. 3, Москва",422.2,1920,2,,
1889,,24950.0,"ул. Розы Люксембург, д. 26, Москва",531.9,1940,2,,
1891,,24968.0,"пер. Романов, д. 7, Москва",1565.4,1800,2,,
1892,,25128.0,"ш. Рублевское, д. 151, к. 4, Москва",561.1,2002,2,,
1893,,25129.0,"ш. Рублевское, д. 151, к. 5, Москва",896.9,0,2,,
1894,,25130.0,"ш. Рублевское, д. 151, к. 6, Москва",882.6,0,2,,
1895,,25248.0,"ул. Рябиновая, д. 42, Москва",548.66,1929,2,,
1896,,25420.0,"ул. Садовническая, д. 61, стр. 2, Москва",89.4,1905,2,,
1897,,25421.0,"ул. Садовническая, д. 61, стр. 3, Москва",374.5,1905,2,,
1898,,25650.0,"проезд. Светлогорский, д. 13, стр. 2, Москва",381.0,1917,2,,
1899,,25651.0,"проезд. Светлогорский, д. 13, стр. 3, Москва",144.0,1917,2,,
1900,,25653.0,"проезд. Светлогорский, д. 13, стр. 5, Москва",903.0,1958,2,,
1901,,25654.0,"проезд. Светлогорский, д. 13, стр. 6, Москва",964.0,1954,2,2,12
1902,,26093.0,"ул. Семеновский Вал, д. 10, к. 5, Москва",1207.5,1946,2,,
1903,,26318.0,"ул. Синельниковская, д. 51, Москва",1027.7,1951,2,,
1904,,26461.0,"пер. Скатертный, д. 21, Москва",348.2,1925,2,,
1905,,26710.0,"ул. Совхозная, д. 31А, Москва",399.0,1959,2,,
1907,,26727.0,"ул. Соколово-Мещерская, д. 25, к. 3, Москва",907.7,2007,2,,
1908,,26728.0,"ул. Соколово-Мещерская, д. 25, к. 4, Москва",871.1,2007,2,,
1909,,26729.0,"ул. Соколово-Мещерская, д. 25, к. 5, Москва",1576.0,2007,2,,
1910,,26731.0,"ул. Соколово-Мещерская, д. 25, к. 7, Москва",528.0,2009,2,,
1911,,26732.0,"ул. Соколово-Мещерская, д. 25, к. 8, Москва",456.0,2009,2,,
1912,,26733.0,"ул. Соколово-Мещерская, д. 25, к. 9, Москва",454.6,2009,2,,
1913,,26735.0,"ул. Соколово-Мещерская, д. 25, к. 16, Москва",828.3,2011,2,,
1914,,26737.0,"ул. Соколово-Мещерская, д. 25, к. 25, Москва",821.5,2014,2,,
1915,,26738.0,"ул. Соколово-Мещерская, д. 25, к. 6, Москва",828.8,2009,2,,
1916,,26748.0,"ул. Соколово-Мещерская, д. 29, к. 3, Москва",2977.3,2007,2,,
1917,,26749.0,"ул. Соколово-Мещерская, д. 29, к. 23, Москва",835.2,2010,2,,
1918,,26754.0,"ул. Соколово-Мещерская, д. 29, к. 4, Москва",447.7,2010,2,,
1919,,26755.0,"ул. Соколово-Мещерская, д. 29, к. 5, Москва",452.9,2010,2,,
1920,,26756.0,"ул. Соколово-Мещерская, д. 29, к. 7, Москва",450.0,2010,2,,
1921,,26757.0,"ул. Соколово-Мещерская, д. 29, к. 8, Москва",453.0,2010,2,,
1922,,26758.0,"ул. Соколово-Мещерская, д. 29, к. 9, Москва",456.5,2010,2,,
1923,,27017.0,"ул. Спортивная, д. 3б, Москва",639.0,1960,2,,
1924,,27185.0,"ул. Станиславского, д. 8А, Москва",468.0,1955,2,,
1925,,27436.0,"пер. Столешников, д. 7, стр. 2, Москва",1384.0,1917,2,,
1926,,27926.0,"ул. Сходненская, д. 12, Москва",898.0,1950,2,,
1927,,28254.0,"ул. Тверская, д. 9а, стр. 5, Москва",706.0,1917,2,,
1928,,28278.0,"б-р. Тверской, д. 17, стр. 4, Москва",864.4,1890,2,,
1929,,28497.0,"ул. Третьего Интернационала, д. 25, Москва",494.0,1940,2,,
1930,,28674.0,"проезд. Туркменский, д. 20, Москва",522.2,1958,2,,
1931,,29477.0,"ул. Фридриха Энгельса, д. 23, стр. 1, Москва",740.3,1917,2,1,6
1932,,29675.0,"ул. Хачатуряна, д. 22Б, Москва",2037.0,1996,2,,
1933,,29773.0,"пер. Хлебный, д. 6, Москва",1365.4,1906,2,,
1934,,29902.0,"ш. Хорошевское, д. 84, к. 1, Москва",1309.8,1945,2,,
1935,,29938.0,"г. Троицк, ул. Центральная, д. 2/5, Москва",944.2,1949,2,,
1936,,30046.0,"ул. Чебоксарская, д. 39, Москва",223.0,1918,2,,
1937,,30171.0,"ул. Черное Озеро, д. 7, к. 1, Москва",621.0,1961,2,,
1938,,30172.0,"ул. Черное Озеро, д. 7, к. 2, Москва",392.1,1958,2,,
1939,,30173.0,"ул. Черное Озеро, д. 7, к. 3, Москва",661.0,1959,2,,
1940,,30174.0,"ул. Черное Озеро, д. 8, Москва",576.9,1948,2,,
1941,,30452.0,"ул. Чистопольская, д. 3, к. 1, Москва",787.0,1951,2,,
1942,,30453.0,"ул. Чистопольская, д. 3, к. 2, Москва",793.0,1951,2,,
1943,,30455.0,"ул. Чистопольская, д. 5, к. 2, Москва",775.0,1936,2,,
1944,,30456.0,"ул. Чистопольская, д. 5, к. 1, Москва",779.0,1948,2,,
1945,,30457.0,"ул. Чистопольская, д. 7, Москва",767.0,1948,2,,
1946,,30469.0,"б-р. Чистопрудный, д. 12, стр. 6, Москва",305.4,1917,2,,
1947,,30556.0,"ул. Чусовская, д. 4, к. 3, Москва",627.6,1930,2,,
1948,,31700.0,"ул. Юровская, д. 92, к. 10, Москва",512.0,2009,2,,
1949,,31711.0,"ул. Юровская, д. 94, к. 1, Москва",1121.9,2006,2,,
1950,,31712.0,"ул. Юровская, д. 94, к. 2, Москва",1848.6,2007,2,,
1951,,31713.0,"ул. Юровская, д. 94, к. 3, Москва",1497.9,2007,2,,
