Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Библиотека №115,,Библиотеки,"улица Фёдора Полетаева, 28",1 этаж,109378.0,,Кузьминки район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84953798391,,,,,,,https://vk.com/lib_uvao_115,,55.708624,37.78316,https://2gis.com/firm/4504127908446554,,,,
Научно-техническая библиотека,МЭИ,Библиотеки,"Красноказарменная улица, 13 к М",1-4 этаж,111250.0,,Лефортово район,Москва,,Москва,Россия,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30 (по предварительному звонку: пн-пт),+03:00,84953627130,,,http://ntb.mpei.ru,,,,,,55.756156,37.704192,https://2gis.com/firm/70000001049542667,,,,
Научная библиотека,отдел обслуживания 2-го учебного корпуса,Библиотеки,"Ленинские Горы, 1 ст52",,119234.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (санитарный день: последний чт месяца),+03:00,,,,http://nbmgu.ru,,,,,,55.699609,37.532272,https://2gis.com/firm/70000001027318892,,,,
Библиотека №123,,Библиотеки,"Верхняя Хохловка, 39/47",1 этаж,109052.0,,Нижегородский район,Москва,,Москва,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84956788156,,,http://okcuvao.ru/biblioteki/nizhegorodskij/biblioteka-123-ul-rogozhskij-posyolok-5/,,,,,,55.733172,37.722224,https://2gis.com/firm/70000001020076682,,,,
Библиотека №240,,Библиотеки,"улица Паршина, 33",1 этаж,123103.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00,+03:00,84997201985,84997201984,,http://szao-cbs.ru,,,,https://vk.com/technoscience240,,55.788884,37.455666,https://2gis.com/firm/4504127915210816,,,,
Библиотека №86,,Библиотеки,"Измайловский проезд, 18 к2",1 этаж,105037.0,,Измайлово район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: вторая ср месяца),+03:00,84991664380,,,http://www.cbs-izmailovo.ru,,,,,,55.798067,37.769747,https://2gis.com/firm/4504127908465459,,,,
Научная библиотека,отдел читальных залов гуманитарного профиля,Библиотеки,"Ломоносовский проспект, 27",В сектор,119192.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00 (санитарный день: первая ср месяца; летний период: пн-сб 11:00-17:00),+03:00,84959394094,84959394242,84959392241,http://nbmgu.ru,,,,,,55.698713,37.524201,https://2gis.com/firm/70000001027318711,,,,
Библиотека №124,,Библиотеки; Копировальные услуги,"улица Сайкина, 9/1","1, 2 этаж",115193.0,,Южнопортовый район,Москва,,Москва,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84956796629,,,http://okcuvao.ru,,,,,,55.707412,37.668779,https://2gis.com/firm/4504128908648635,,,,
Библиотека №48,,Библиотеки,"улица Кибальчича, 4/6",1 этаж,129164.0,,Алексеевский район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний вторник месяца),+03:00,84956836858,84956834754,,http://bibliosvao.ru,,,https://twitter.com/bibliosvao,https://vk.com/bibliosvao,,55.81539,37.647042,https://2gis.com/firm/4504127908434790,,,,
Детская библиотека №102,,Библиотеки,"улица Плеханова, 26 к4",,111398.0,,Перово район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний день месяца),+03:00,84953090739,,,,,,,https://vk.com/cbsvao,,55.740623,37.768153,https://2gis.com/firm/4504127908417519,,,,
Детская библиотека №45,,Библиотеки,"Пулковская улица, 3 к1",1 этаж,125565.0,,Головинский район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний рабочий день месяца),+03:00,84954520145,,,http://www.cbssao.ru,,,,https://vk.com/bib45kids,https://youtube.com/channel/UCSjwl3ci9KhS5iTlk6UaWxw,55.844015,37.48087,https://2gis.com/firm/4504127908428162,,,,
Государственная публичная научно-техническая библиотека России,филиал №20,Библиотеки,"улица Девятая Рота, 15",1 этаж,107061.0,,Преображенское район,Москва,,Москва,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00 (санитарный день: первый день месяца),+03:00,84959632536,,,http://www.gpntb.ru,,,,https://vk.com/gpntb.russia,https://youtube.com/channel/UCbcF1JpyNRhZ7p1T9p54Z0g,55.791968,37.712306,https://2gis.com/firm/4504127912941074,,,,
Государственная публичная научно-техническая библиотека России,Филиал №25,Библиотеки,"Варшавское шоссе, 71 к1",1 этаж,117556.0,,Нагорный район,Москва,,Москва,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-16:00 (летний период: пн-пт 10:00-18:00),+03:00,84996134929,84996106882,,http://www.gpntb.ru,,,,https://vk.com/gpntb.russia,https://youtube.com/channel/UCbcF1JpyNRhZ7p1T9p54Z0g,55.660896,37.62012,https://2gis.com/firm/4504127912941072,,,,
Московский городской педагогический университет,Библиотека,Библиотеки,"Ходынский бульвар, 21а",1 этаж,125252.0,,Хорошёвский район,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (санитарный день: последняя пт месяца),+03:00,84997626704,,,http://www.mgpu.ru,,,,https://vk.com/rumgpu,https://youtube.com/c/rumgpu,55.790136,37.521108,https://2gis.com/firm/4504128908432100,,,,
Центральная библиотека №136 им. Л.Н. Толстого,,Библиотеки,"Коломенский проезд, 21",1 этаж,115487.0,,Нагатино-Садовники район,Москва,,Москва,Россия,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-20:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2020),,,http://bibliouao.ru/biblio_136,,,,https://vk.com/biblio136,,55.667847,37.654829,https://2gis.com/firm/4504127915359703,,,,
Христианская библиотека,,Библиотеки,"Волгоградский проспект, 93 к2",1 этаж,109117.0,,Кузьминки район,Москва,,Москва,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+03:00,84991773921,,,,,,,,,55.708777,37.751279,https://2gis.com/firm/70000001022824075,,,,
Библиотека №241,,Библиотеки,"Маршала Тухачевского, 28 к1",1 этаж,123154.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00,+03:00,84991946721,,,http://szao-cbs.ru,,,,,,55.78446,37.474478,https://2gis.com/firm/4504127915259073,,,,
Библиотека №151,,Библиотеки,"микрорайон Северное Чертаново, 2 к207",2 этаж,117648.0,Северное Чертаново м-н,Чертаново Северное район,Москва,,Москва,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2374),,,http://bibliouao.ru/biblio_151_1,,,,,,55.639247,37.600761,https://2gis.com/firm/4504127908471962,,,,
Центральная библиотека №106,,Библиотеки; Культурно-досуговые центры для взрослых,"Зарайская улица, 56а",,109428.0,,Рязанский район,Москва,,Москва,Россия,Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-20:00 (санитарный день: последний вт месяца),+03:00,84991706197,,,http://okcuvao.ru,,,,https://vk.com/lib_uvao_106,,55.727106,37.774105,https://2gis.com/firm/4504127908806102,,,,
Библиотека №122 им. А.С. Грина,,Библиотеки,"Волочаевская улица, 14а",,111033.0,,Лефортово район,Москва,,Москва,Россия,Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-20:00 (санитарный день: последний вт месяца),+03:00,84992678415,84992679042,,,,,,https://vk.com/lib_uvao_122,,55.755795,37.67927,https://2gis.com/firm/4504127908593627,,,,
Музей М.А. Булгакова,Научно-библиотечный отдел,Библиотеки,"Большой Афанасьевский переулок, 35-37 ст4",1 этаж,119019.0,,Арбат район,Москва,,Москва,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00,+03:00,84956915773,,,http://www.bulgakovmuseum.ru,,,https://twitter.com/bulgakovmuseum,https://vk.com/bulgakovmuseum,,55.749403,37.596011,https://2gis.com/firm/70000001030632531,,,,
Библиотека №213 им. Леси Украинки,,Библиотеки,"улица Большая Филёвская, 19/18 к1",1 этаж,121309.0,,Филёвский парк район,Москва,,Москва,Россия,Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00 (санитарный день: последняя пт месяца),+03:00,84991452066,,,http://bibliozao.ru,,,,,,55.747647,37.497196,https://2gis.com/firm/4504127908420561,,,,
Библиотека №191,,Библиотеки,"улица Обручева, 51",1 этаж,117246.0,,Черёмушки район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84953315933,,,http://n1240.biblioteks.ru,,,,https://vk.com/biblioteka191,,55.651261,37.559458,https://2gis.com/firm/4504127908821840,,,,
Библиотека №87,,Библиотеки,"9-я улица Соколиной Горы, 17",1 этаж,105118.0,,Соколиная Гора район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84953651794,,,http://cbs-vao.ru,,,,,,55.772956,37.736098,https://2gis.com/firm/4504127908465530,,,,
Библиотека №168,,Библиотеки,"Херсонская, 1",цокольный этаж,117461.0,,Зюзино район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84991221088,84991221097,,http://okcuzao.ru/,,,,https://vk.com/biblio168,,55.649594,37.577162,https://2gis.com/firm/4504127908447536,,,,
Библиотека №96,,Библиотеки,"Свободный проспект, 24",,111396.0,,Новогиреево район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: первая пт месяца),+03:00,84953022222,,,http://cbs-vao.ru,,,,https://vk.com/cbsvao,,55.749851,37.815827,https://2gis.com/firm/4504127908465325,,,,
Библиотека №199 им. Э.Г. Багрицкого,,Библиотеки,"улица Багрицкого, 51",,121471.0,,Можайский район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84954436790,,,http://bibliozao.ru/,,,,,,55.719123,37.437727,https://2gis.com/firm/4504127908794660,,,,
Центральная библиотека №136 им. Л.Н. Толстого,,Библиотеки; Копировальные услуги,"проспект Андропова, 38",,115487.0,,Нагатино-Садовники район,Москва,,Москва,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 10:00-18:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2029),,,http://bibliouao.ru/biblio_136,,,,https://vk.com/biblio136,https://youtube.com/channel/UC8I1KbamQ360aHzW-JpGAIw,55.674277,37.66179,https://2gis.com/firm/4504127908794694,,,,
Центральная детская библиотека №104,,Библиотеки,"1-я Новокузьминская улица, 16 к2",1 этаж,109377.0,,Рязанский район,Москва,,Москва,Россия,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-20:00 (санитарный день: последний вт месяца),+03:00,84953711922,,,http://www.mos.ru/knigi/search/?q=&page=1&in_stock=true&is_online=true&sort=relevant&library=284353082,,,,https://vk.com/lib_uvao_104,,55.713581,37.79019,https://2gis.com/firm/4504127908437188,,,,
Библиотека №53,,Библиотеки,"Седова, 3",1 этаж,129323.0,,Свиблово район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84991800585,84991894401,,,,,,https://vk.com/53bibliosvao,https://youtube.com/channel/UC6T9U72SW3_JX3mC1Hp87Lg,55.851217,37.643175,https://2gis.com/firm/4504127908807908,,,,
Библиотека №215,,Библиотеки,"Удальцова, 4",1 этаж,119415.0,,Проспект Вернадского район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84991316001,,,http://bibliozao.ru,,,,,,55.673322,37.516952,https://2gis.com/firm/4504127918562121,,,,
Библиотека №77,,Библиотеки,"11-я Парковая улица, 21",1 этаж,105077.0,,Измайлово район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний чт месяца),+03:00,84954654614,,,http://cbs-vao.ru,,,,https://vk.com/lib77,,55.794687,37.805256,https://2gis.com/firm/4504127908417018,,,,
Научная библиотека,отдел обслуживания географического факультета,Библиотеки,"Ленинские Горы, 1",А сектор; 21 этаж,119234.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (санитарный день: первый чт месяца),+03:00,84959392645,,,http://nbmgu.ru,,,,,,55.702895,37.530641,https://2gis.com/firm/70000001027319531,,,,
Библиотека №150,Взрослое отделение,Библиотеки,"улица Борисовские Пруды, 10 к5",1 этаж,115211.0,,Братеево район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2347),,,http://bibliouao.ru/biblio_150_1,,,,https://vk.com/biblio150,,55.633566,37.741378,https://2gis.com/firm/4504127908773188,,,,
Библиотека им. Н.А. Некрасова,,Библиотеки,"улица Старая Басманная, 17 ст3",,105066.0,,Басманный район,Москва,,Москва,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,+03:00,84959169386 (единый номер: пн-сб 10:00-22:00; вс 10:00-20:00),,,http://www.nekrasovka.ru,,,,https://vk.com/nekrasovkalibrary,https://youtube.com/nekrasovkalibrary,55.7668,37.660797,https://2gis.com/firm/70000001062148574,,,,
Библиотека №29,Детское отделение,Библиотеки,"Дмитровское шоссе, 43",,127434.0,,Тимирязевский район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний рабочий день месяца),+03:00,84999769748,,,,,,,,https://youtube.com/channel/UC-kuV22BzQsGqj4-Ie8tiwQ,55.83376,37.572065,https://2gis.com/firm/4504127908490059,,,,
Научная библиотека,отдел обслуживания факультетов биологического и почвоведения,Библиотеки,"Ленинские Горы, 1 ст12",1 этаж,119234.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00; Сб: 11:00-17:00 (санитарный день: последний чт месяца),+03:00,84959392770,,,http://nbmgu.ru,,,,https://vk.com/soilmsu,https://youtube.com/soilmsu,55.704145,37.521407,https://2gis.com/firm/70000001027319648,,,,
Библиотека №157,,Библиотеки; Копировальные услуги; Детские / подростковые клубы,"Газопровод, 9 к2",1 этаж,117405.0,,Чертаново Южное район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,"84956824222 (доп.2521, Единая кафедра)",,,http://bibliouao.ru/biblio_157,,,,https://vk.com/biblio157,,55.59005,37.607513,https://2gis.com/firm/4504127908472205,,,,
Библиотека №151,,Библиотеки,"Чертановская улица, 27 к2",1 этаж,117519.0,,Чертаново Центральное район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2392),,,http://bibliouao.ru/biblio_151_1,,,,https://vk.com/kulturauao,,55.616572,37.599112,https://2gis.com/firm/4504127908472971,,,,
Библиотека №82,Взрослое отделение,Библиотеки; Копировальные услуги,"Измайловский проспект, 83",1 этаж,105554.0,,Восточное Измайлово район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: вторая пт месяца),+03:00,84954652393,84959634000,,http://www.cbs-vao.ru,http://www.cbs-izmailovo.ru,,,https://vk.com/lib82retro,https://youtube.com/UC2Qg6-eMKFS4NT4GN72HCnw,55.789016,37.801667,https://2gis.com/firm/4504127908417402,,,,
Детская библиотека №206 им. И.Е. Забелина,,Библиотеки,"Кременчугская, 6 к1",1 этаж,121357.0,,Фили-Давыдково район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84994493234,84994493225,84994490584,http://bibliozao.ru,,,,https://vk.com/bibliozao,https://youtube.com/channel/UCaJq1wss4d1T4AmN1X8mvxg,55.723972,37.460272,https://2gis.com/firm/4504127908427170,,,,
Библиотека №107,,Библиотеки; Копировальные услуги,"Перовское шоссе, 16/2",1 этаж,109202.0,,Нижегородский район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84991719437,,,http://окцювао.рф,,,,https://vk.com/lib_uvao_107,,55.736201,37.751261,https://2gis.com/firm/4504127909007721,,,,
Библиотека №20 им. А.А. Дельвига,Отдел обменно-репозитарного хранения и внестационарного дифференцированного обслуживания,Библиотеки,"Большая Почтовая, 18/20 к18",,105082.0,,Басманный район,Москва,,Москва,Россия,Пн: 14:00-18:00; Вт: 14:00-18:00; Ср: 14:00-18:00; Чт: 14:00-18:00; Пт: 14:00-18:00 (санитарный день: последний вт месяца),+03:00,,,,http://cbscao.ru,http://bibl20.ru,,,https://vk.com/childbibl,,55.774563,37.690228,https://2gis.com/firm/4504127908768075,,,,
Библиотека №120,,Библиотеки,"улица Ухтомская, 21",1 этаж,111020.0,,Лефортово район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84953603841,,,http://okcuvao.ru,,,,,,55.767449,37.715648,https://2gis.com/firm/4504127908786270,,,,
Объединение культурных центров Северного административного округа,,Библиотеки,"улица Клары Цеткин, 11",1 этаж,127299.0,,Войковский район,Москва,,Москва,Россия,"Пн: 10:00-13:00, 13:30-18:30; Вт: 10:00-13:00, 13:30-18:30; Ср: 10:00-13:00, 13:30-18:30; Чт: 10:00-13:00, 13:30-18:30; Пт: 10:00-13:00, 13:30-18:30",+03:00,84954506800,,,http://cbssao.ru,,,,https://vk.com/cbssao,,55.819103,37.51654,https://2gis.com/firm/70000001059898708,,,,
Библиотека №27,,Библиотеки,"улица Фестивальная, 67",1 этаж,125502.0,,Ховрино район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний рабочий день месяца),+03:00,84954556897,84954556845,,http://www.cbssao.ru,,,,https://vk.com/public65345262,https://youtube.com/channel/UCl0xOV9OsaatnS8hNczn30w,55.862186,37.501294,https://2gis.com/firm/4504127908480859,,,,
Научная библиотека,отдел читальных залов естественнонаучного профиля,Библиотеки,"Ломоносовский проспект, 27",407 комната; А сектор; 4 этаж,119192.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-17:00 (санитарный день: первая ср месяца),+03:00,84959393729,84959394242,84959392241,http://nbmgu.ru,,,,,,55.698713,37.524201,https://2gis.com/firm/70000001027318796,,,,
Детская библиотека №165,,Библиотеки,"проспект Андропова, 17 к1",1 этаж,115470.0,,Нагатинский Затон район,Москва,,Москва,Россия,Вт: 15:00-19:00; Ср: 15:00-19:00; Чт: 15:00-19:00; Пт: 15:00-19:00 (санитарный день: последняя пт месяца),+03:00,84956824222 (доп.2677),,,http://kulturauao.ru,http://bibliouao.ru,,,https://vk.com/biblio165,,55.682894,37.667095,https://2gis.com/firm/4504127908447585,,,,
Центральная детская библиотека №66,,Библиотеки,"Северодвинская, 11 к2",,127224.0,,Северное Медведково район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84954741096,,,http://bibliosvao.ru/,,,,https://vk.com/detbiblio66,https://youtube.com/channel/UC_4zvVLPfMBHjIXjAEnkc8A,55.890245,37.678147,https://2gis.com/firm/4504127908434919,,,,
Библиотека №267 им. Н.К. Крупской,,Библиотеки,"Большая Спасская, 31",1 этаж,129090.0,,Красносельский район,Москва,,Москва,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84956800750,,,http://okccao.ru,,,,,,55.776313,37.644182,https://2gis.com/firm/4504127908436713,,,,
Научная библиотека,отдел обслуживания факультета фундаментальной медицины,Библиотеки,"Ломоносовский проспект, 27 к1",Б-201 комната; 2 этаж,119192.0,,Раменки район,Москва,,Москва,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00 (санитарный день: последняя пт месяца),+03:00,84959329906,,,http://nbmgu.ru,,,,,,55.697043,37.526342,https://2gis.com/firm/70000001027319891,,,,
Центральная детская библиотека №78 им. И.А. Крылова,,Библиотеки,"Сокольническая Слободка, 14/18",1 этаж,107113.0,,Сокольники район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,84992691210,,,,,,,,,55.789017,37.67628,https://2gis.com/firm/70000001021758135,,,,
Центральная библиотека №106,,Библиотеки,"Институтская 3-я улица, 15",1 этаж,109428.0,,Рязанский район,Москва,,Москва,Россия,Пн: 08:30-17:30; Вт: 08:30-17:30; Ср: 08:30-17:30; Чт: 08:30-17:30; Пт: 08:30-16:15 (санитарный день: последний вт месяца),+03:00,84991708938,,,http://okcuvao.ru,,,,https://vk.com/lib_uvao_106,,55.722875,37.784127,https://2gis.com/firm/4504127908593660,,,,
Детская библиотека №112,,Библиотеки,"Жигулёвская улица, 6 к2",1 этаж,109117.0,,Кузьминки район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84997226512,,,http://okcuvao.ru,,,,https://vk.com/okc_uvao,https://youtube.com/channel/UCvqm8_E0zr2dG9BLUM7SfXg,55.711526,37.759327,https://2gis.com/firm/4504127909006932,,,,
Библиотека №131,,Библиотеки,"Братиславская, 26",2 этаж,109469.0,,Марьино район,Москва,,Москва,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84953461700,,,http://окцювао.рф,,,,https://vk.com/lib_uvao_131_133,,55.654896,37.763325,https://2gis.com/firm/4504127908454152,,,,
Детская библиотека №133,,Библиотеки,"Братиславская, 19 к1",1 этаж,109451.0,,Марьино район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00 (санитарный день: последний вт месяца),+03:00,84953479870,84953469110,84953469150,http://okcuvao.ru,,,,https://vk.com/lib_uvao_131_133,,55.657743,37.761503,https://2gis.com/firm/4504127908453867,,,,
