Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Центральная библиотека,г. Краснознаменск,Библиотеки,"Победы, 9/1",1 этаж,143090.0,,,Краснознаменск,ЗАТО Краснознаменск городской округ,Московская область,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (санитарный день: последний чт месяца),+03:00,84986761667,,,http://www.bibliokras.ru,,,,,,55.598111,37.035943,https://2gis.com/firm/4504127909220171,,,,
ЦБ Богородского городского округа,Сельский филиал №8 МУК,Библиотеки,"Совхозная, 19",в здании ДК,142435.0,,,,Богородский городской округ,Московская область,Россия,,+03:00,84965147847,,,http://mcb-noginsk.mo.muzkult.ru,,,,,,55.77217,38.266351,https://2gis.com/firm/70000001064292415,,,,
Большевяземская муниципальная библиотека,,Библиотеки,"Школьный посёлок, 11",,143050.0,,,,Одинцовский городской округ,Московская область,Россия,Пн: 12:00-19:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-18:00 (санитарный день: последняя пт месяца),+03:00,84986940618,,,,,,,https://vk.com/biblioteka59,,55.628614,37.009734,https://2gis.com/firm/70000001048998325,,,,
Раменская межпоселенческая библиотека,,Библиотеки,"Спортивная, 4",4 офис; 1 этаж,140127.0,,,,Раменский городской округ,Московская область,Россия,Пн: 12:00-19:00; Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00,+03:00,,,,,,,,,,55.540888,38.312553,https://2gis.com/firm/70000001061320114,,,,
Библиотека №19,,Библиотеки,"Большая Серпуховская, 214а",1 этаж,142181.0,,,,Подольск городской округ,Московская область,Россия,Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00 (санитарный день: последний рабочий день месяца ),+03:00,84967614615,,,,,,,https://vk.com/club156517842,,55.38821,37.538569,https://2gis.com/firm/70000001023290895,,,,
Центральная городская библиотека им. К.Г. Паустовского,,Библиотеки; Копировальные услуги; Курсы творчества и рукоделия для взрослых; Художественные выставки / Галереи; Лектории,"проспект Ленина, 36",,144000.0,Центральный м-н,,Электросталь,Электросталь городской округ,Московская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Сб: 12:00-19:00; Вс: 12:00-19:00 (санитарный день: последний день месяца),+03:00,84965742121,84965743207,84965744527,http://elcbs.ru,,,,https://vk.com/elcbs,,55.78881,38.442449,https://2gis.com/firm/70000001024855594,,,,
Трубинская сельская библиотека,,Библиотеки,"село Трубино, 102",,141131.0,,,,Щёлково городской округ,Московская область,Россия,Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 11:00-18:00,+03:00,89167246082,,,,,,,https://vk.com/club153042962,,55.989684,38.127214,https://2gis.com/firm/70000001064073335,,,,
Библиотека №1,,Библиотеки,"Коммунистическая, 7",1 этаж,140105.0,Холодово м-н,,Раменское,Раменский городской округ,Московская область,Россия,"Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Вс: 10:00-16:00 (санитарный день: последний день месяца; летний период пн-чт 10.00-18.00, вс 10.00-16.00)",+03:00,84964675354,,,http://rambibl.ru,,,,https://vk.com/tmpodelkin,,55.589876,38.207799,https://2gis.com/firm/70000001027053312,,,,
Центральная библиотека Пушкинского городского округа,Зеленоградское городское отделение,Библиотеки,"микрорайон Зелёный Город, 4",,141253.0,,,,Пушкинский городской округ,Московская область,Россия,"Вт: 10:30-15:00, 15:45-19:30; Ср: 10:30-15:00, 15:45-19:30; Чт: 10:30-15:00, 15:45-19:30; Пт: 10:30-15:00, 15:45-19:30; Сб: 11:15-15:00, 15:45-19:00 (санитарный день: последний чт месяца)",+03:00,89032881127,,,,,,,,,56.090771,37.899014,https://2gis.com/firm/70000001049251615,,,,
Городская библиотека №2,,Библиотеки,"Луговая, 1а/1",1 этаж,142006.0,Востряково м-н,,Домодедово,Домодедово городской округ,Московская область,Россия,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+03:00,84967967553,,,http://dombibl.ru,,,,https://vk.com/biblioteka_2_vostryakovo,,55.39712,37.81827,https://2gis.com/firm/70000001037932131,,,,
Заборьевская сельская библиотека,,Библиотеки,"Центральный проспект, 12а",,142006.0,Востряково м-н,,Домодедово,Домодедово городской округ,Московская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,,,,,,,,55.395522,37.812235,https://2gis.com/firm/70000001048762793,,,,
Пушкинская библиотека,,Библиотеки,"село Ельдигино, 5",,141255.0,,,,Пушкинский городской округ,Московская область,Россия,"Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 11:00-13:00, 14:00-19:00; Сб: 12:00-17:00 (санитарный день: последний чт месяца)",+03:00,,,,http://bibliopushkino.ru,,,,https://vk.com/bibliopushkino,,56.1111,37.816226,https://2gis.com/firm/70000001029074510,,,,
Чашниковская сельская библиотека,,Библиотеки,"микрорайон Новые Дома, 22",,141592.0,Новые дома м-н,,,Солнечногорск городской округ,Московская область,Россия,Вт: 10:30-18:00; Ср: 10:30-18:00; Чт: 10:30-18:00; Пт: 10:30-18:00; Сб: 10:00-14:00,+03:00,89035844107,,,,,,,,,56.031442,37.174278,https://2gis.com/firm/70000001065664512,,,,
Пушкинская библиотека,Зеленоградское,Библиотеки,"Школьная, 1",,141253.0,,,,Пушкинский городской округ,Московская область,Россия,"Вт: 10:30-15:00, 15:45-19:30; Ср: 10:30-15:00, 15:45-19:30; Чт: 10:30-15:00, 15:45-19:30; Пт: 10:30-15:00, 15:45-19:30; Сб: 11:15-15:00, 15:45-19:00 (санитарный день: последний чт месяца)",+03:00,,,,http://bibliopushkino.ru,,,,https://vk.com/bibliopushkino,,56.092847,37.907436,https://2gis.com/firm/70000001029077100,,,,
Библиотека №1,Гжельский филиал,Библиотеки,"Новая, 24 к1",,140145.0,,,,Раменский городской округ,Московская область,Россия,Пн: 13:00-19:00; Вт: 13:00-19:00; Ср: 13:00-19:00; Чт: 13:00-19:00; Пт: 13:00-19:00; Вс: 13:00-19:00,+03:00,,,,http://rambibl.ru,,,,https://vk.com/rambibl,,55.609565,38.392695,https://2gis.com/firm/70000001033549822,,,,
Звёздный,библиотека,Библиотеки,"Почтовая, 5",1 этаж,108828.0,,Краснопахорское поселение,,,Москва,Россия,"Вт: 10:00-14:00, 14:30-18:30; Ср: 10:00-14:00, 14:30-18:30; Чт: 10:00-14:00, 14:30-18:30; Пт: 10:00-14:00, 14:30-18:30; Сб: 10:00-14:00, 14:30-18:30 (санитарный день: последний день месяца)",+03:00,84958493235 (взрослое отделение),84958493225 (детское отделение),,http://www.дк-звёздный.рф/,,,,,,55.430446,37.273221,https://2gis.com/firm/70000001020719173,,,,
Уличная библиотека,,Библиотеки,,,143040.0,,,Голицыно,Одинцовский городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,55.628516,36.98738,https://2gis.com/firm/70000001062683195,,,,
Макаровская сельская библиотека,,Библиотеки,"село Макарово, 18г",,142432.0,,,,Черноголовка городской округ,Московская область,Россия,"Вт: 11:00-14:00, 15:00-19:00; Ср: 11:00-14:00, 15:00-19:00; Чт: 10:00-14:00, 15:00-19:00; Пт: 11:00-14:00, 15:00-19:00; Сб: 11:00-14:00, 15:00-19:00 (санитарный день: последний чт месяца)",+03:00,,,,,,,,,,56.004548,38.30859,https://2gis.com/firm/70000001064033207,,,,
